"CLA_GR_UID","THE_TE_UID","TERM","INDEX_TERM","SCOPE_NOTE","STATUS","IMAGE_EXISTS"
77,79061,"LEMONS","Y","Citrus fruit of a distinctive yellow colour.","P",
77,79068,"Log Wood","N",,"N",
77,79069,"LOGWOOD","Y","The heartwood of a leguminous tree from which an extract is obtained. The extract being used for dyeing.","P",
77,79076,"MAIZE","Y","A cereal, yellow in colour, the grains of which are embedded in a core known as the cob.","P",
77,79080,"MARBLE BLOCKS","Y","Blocks cut from marble.","P",
77,79087,"MILITARY PERSONNEL","Y","Personnel serving with one of the three armed forces - army, navy or air force.","P",
77,79088,"Military Stores","N",,"N",
77,79096,"MULES","Y","Draught animals produced by mating asses and horses.","P",
77,79097,"MUNITIONS","Y","Military weapons, amunition and stores.","P",
77,79098,"NAPHTHA","Y","A flammable liquid that occurs naturally and is also now distilled.","P",
77,79099,"NAVAL STORES","Y","Goods and equipment used to supply a navy.","P",
77,79100,"NITRATE OF SODA","Y","A fertilizer containing nitrogen, derived from sodium nitrate.","P",
77,79101,"NUTS","Y","A seed or fruit with a hard shell, often edible or used to produce oils.","P",
77,79102,"OAK","Y","The wood from trees of the type Quercus.","P",
77,79103,"OATMEAL","Y","Ground oats used as food, often in the form of porridge.","P",
77,79107,"OLIVE OIL","Y","Oil produced from the pulp of olives.","P",
77,79111,"Ordnance","N",,"N",
77,79112,"Ordnance Ammunition","N",,"N",
77,79113,"Ordnance Stores","N",,"N",
77,79116,"OYSTERS","Y","A mollusc usually used as a foodstuff.","P",
77,79120,"PARAFFIN","Y","A solid material which is combustible distilled from petroleum.","P",
77,79124,"PEPPER","Y","A pungent condiment manufactured from the dried berries of the plant Piper Nigrum. Use for cargoes of peppercorns or ground pepper.","P",
77,79131,"PISTOLS","Y","Small hand-held firearms.","P",
77,79132,"PIT PROPS","Y","A large block of wood used to support the roof of a mine.","P",
77,79134,"PLANT PRODUCTS","Y","Products manufactured from plant materials.","P",
77,79143,"PORTER","Y","A bitter beer brewed using charred or browned malt.","P",
77,79146,"PRAWNS","Y","Small, marine crustaceans are used as food.","P",
77,79152,"RAW COTTON","Y","Cotton which has not been processed.","P",
77,79161,"RUBBISH","Y","Waste material.","P",
77,79162,"RUM","Y","An alcoholic spirit distilled from sugar products, especially molasses.","P",
77,79163,"RYE","Y","A cereal used to make spirits, beer and coarse bread.","P",
77,79164,"SALT","Y","A mineral, Sodium Chloride, obtained by mining or the evaporation of brine used as a seasoning and for preserving food.","P",
77,79168,"SCRAP IRON","Y","Fragments of wrought or cast iron broken up for reprocessing.","P",
77,79169,"SCRAP METAL","Y","Fragments of metal broken up and set aside for reprocessing.","P",
77,79172,"SEED","Y","The grains of various plants from which new plants grown.","P",
77,79173,"SHEEP","Y","Medium-sized animals domesticated for their wool, skin, meat and milk.","P",
77,79175,"SHELLFISH","Y","Aquatic invertebrate animals whose outer covering is a shell, often 'farmed' to be eaten. Includes molluscs and crustaceans.","P",
77,79178,"SHOT","Y","Missiles, such as cannon balls and musket balls, designed to be discharged from a gun or cannon using an explosive propellant.","P",
77,79181,"SILVER BULLION","Y","Solid bars or ingots of silver.","P",
77,79186,"SMALL ARMS AMMUNITION","Y","Ammunition manufactured for use in hand held firearms.","P",
77,79194,"STEEL INGOTS","Y","Solid bars made from steel.","P",
77,79196,"STONE PRODUCTS","Y","Products manufactured from stone.","P",
77,83813,"PEAS","Y","The round seeds of the plant Pisum sativum which grow in pods and are eaten as a vegetable.","P",
77,83817,"HOPS","Y","Conelike spikes of the hop plant used in the brewing industry to give a bitter flavour to beer and malt liquors.","P",
77,83818,"Small Goods","N",,"N",
77,83917,"ACID","Y","Corrosive chemical compounds, usually liquids, which are neutralized by alkalis.","P",
77,83784,"LINEN","Y","A cloth woven from flax.","P",
77,83792,"GINGER","Y","The stem of the plant Zingiber officinale, with a characterisitc hot and peppery taste, used in cookery and medicine.","P",
77,83811,"ARROWROOT","Y","A pure starch obtained from the tubers of the plant Maranta arundinacea used in cookery as a thickening agent.","P",
77,83872,"EBONY","Y","The hard, black, heavy wood of various tropical trees native to Africa and Asia, used in furniture manufacture and for making ornaments.","P",
77,83874,"Tinned Meat","N",,"N",
77,83870,"STURNE","Y","Unfermented wine.","P",
77,84069,"GAS","Y","An airlike, fluid hydrocarbon suitable for burning to produce light, heat or power.","P",
77,83875,"SODA","Y","Sodium carbonate, usually derived from common salt, used for a variety of purposes including the manufacture of glass and soap.","P",
77,83876,"ZINC ORE","Y","Ore containing a high proportion of zinc.","P",
77,83878,"COD LIVER OIL","Y","Oil obtained from the liver of the cod, providing a rich source of vitamins A and D.","P",
77,83907,"IRON PIPES","Y","Pipes manufactured from iron and used for a variety of purposes.","P",
77,83909,"LENTILS","Y","Small seeds of the leguminous plant Lens culinaris, eaten in stews and soups.","P",
77,83914,"SPELTER","Y","Zinc, now mainly used for smelted zinc but has been used to include zinc ores.","P",
77,83916,"ALUM","Y","A sulphate of aluminium and potassium used in the dyeing process as a mordant to increase the intake of dye into a cloth.","P",
77,83901,"SLAG","Y","A waste product from smelting metal.","P",
77,83946,"GIRDERS","Y","Beams of wood, iron, steel etc., used in the construction industry.","P",
77,83959,"FIREWORKS","Y","Explosive devices which produce spectacular visual effects when ignited.","P",
77,83960,"GLYCERINE","Y","A colourless, thick sweet liquid used in the manufacture of chemicals.","P",
77,83964,"ASH","Y","The powdery residue left after the combustion of substances, especially wood and paper.","P",
77,83987,"MUD","Y","Soft, damp soil.","P",
77,84044,"TRAIN OIL","Y","Product of boiled blubber","P",
77,84045,"GOLD DUST","Y","Very fine particles of gold.","P",
77,84009,"GYPSUM","Y","Calcium sulphate used as a fertilizer and for making plaster of Paris.","P",
77,84124,"CORRUGATED IRON","Y","Sheets of iron or steel bent into a series of ridges and hollows to give added strength and rigidity.","P",
77,84688,"ESPARTO GRASS","Y","A grass, used in paper making, native to Spain and North Africa.","P",
77,84700,"CREOSOTE","Y","A liquid derived from wood tar through a distillation process. Now used to describe timber preservative derived from coal tar.","P",
77,84536,"TYRES","Y","A hoop or band of material put around a wheel to protect it and, when filled with air, to provide a more comfortable ride.","P",
77,84537,"SUBMARINE CABLE","Y","A cable laid under the surface of the sea, often on the seabed, for various purposes including telecommunications.","P",
77,84624,"COCONUT FIBRE MATTING","Y","Matting manufactured using the fibres from the outer husks of coconuts.","P",
77,87162,"SULPHUR ORE","Y","Ore containing a high proportion of sulphur.","P",
77,87165,"BONE MEAL","Y","Ground and crushed bones used as a fertilizer.","P",
77,87172,"PURPLE ORE","Y","A sulphide of copper and iron, reddish brown in colour.","P",
77,87176,"IRON RAILS","Y","Iron in the form of rails eg. for use in the construction of railways.","P",
77,87265,"IRONSTONE","Y","Hard iron ores","P",
77,87276,"FIRE CLAY","Y","Clay used in the manufacture of fire bricks.","P",
77,87291,"NAVIGATION BUOYS","Y","Buoys used to direct craft on water along the correct route or away from a hazard. Usually used in coastal areas.","P",
77,90110,"Silver Bars","N",,"N",
77,90112,"JEWELS","Y","Articles of value particularly those made with precious metals and precious stones, usually worn for adornment.","P",
77,90120,"ROOFING SHINGLES","Y","Thin, rectangular tiles, usually made of wood, used for roofing.","P",
77,90173,"CAST IRON PIPES","Y","Pipes manufactured from cast iron and used for a variety of purposes.","P",
77,90175,"SULPHATES","Y","A sulphuric acid compound.","P",
77,87415,"STONE BLOCKS","Y","Worked pieces of stone. Use more specific type of stone where known.","P",
77,87433,"ASBESTOS","Y","A fibrous silicate mineral used to manufacture incombustible items.","P",
77,87450,"CABLE","Y","Originally used to describe very strong, often thick, rope made of metal or hemp. Now can be used for protective flexible tubing encasing wires such as telephone wire.","P",
77,87577,"STEEL RAILS","Y","Steel in the form of rails eg. for use in the construction of railways.","P",
77,87597,"ROCK SALT","Y","Salt in its natural state","P",
77,87617,"FLAGS","Y","Pieces of material, usually decorated, used as standards, for signalling or for decoration. Often used as a symbol of a particular nation eg. the Union Flag of Great Britain.","P",
77,87631,"KELP","Y","Various seaweeds which are burnt to obtain the salts contained in their ashes, which are used in the manufacture of soap and glass.","P",
77,85348,"WHISKY","Y","An alcoholic spirit distilled from malted barley or barley and maize or rye.","P",
77,85370,"ROSIN","Y","An amber like substance derived from pine or turpentine.","P",
77,85371,"ANTIMONY","Y","A brittle silvery metallic element used in the manufacture of many alloys.","P",
77,85380,"PEWTER","Y","An alloy, traditionally of tin and lead but now of tin, antimony and copper, used for domestic utensils.","P",
77,85394,"DRUGS","Y","A substance used to affect a human or animal by changing mental or physical states, particularly used in medicine.","P",
77,85396,"MOHAIR","Y","Hair from the Angora goat","P",
77,85406,"FURS","Y","Animal skins which have the outer pelt of fur on them.","P",
77,85407,"SALTED MACKEREL","Y","Mackerel which has been salted to preserve it.","P",
77,85411,"PICKLED SALMON","Y","Salmon which has been pickled in vinegar or brine to preserve it.","P",
77,85410,"SAILCLOTH","Y","Canvas or similar fabric used for the manufacture of sails.","P",
77,85416,"CIDER","Y","An alcoholic drink made from fermented apple juice.","P",
77,85550,"SUPERPHOSPHATE","Y","A chemical fertilizer made by treating powdered phosphate rock with sulphuric acid.","P",
77,87148,"SPIRITS","Y","Usually distilled alcohollic drink but also used for liquids where a substance is in solution with alcohol.","P",
77,85632,"Pit Wood","N",,"N",
77,85636,"CHAMPAGNE","Y","A sparkling, white wine traditionally from the Champagne region of France. Now used, loosely, to refer to any sparkling white wine.","P",
77,85643,"IVORY NUTS","Y","The seeds of the palm Phytelephas macrocarpa, the albumen of which, hardens resembling ivory in colour, texture and toughness and is used to make ornamental buttons etc.","P",
77,85684,"POLES","Y","A long thin piece of wood,","P",
77,85721,"GAS OIL","Y","A liquid distilled from petroleum.","P",
77,85728,"DISPATCHES","Y","Written communiques, often of a military or governmental nature, requiring fast delivery.","P",
77,82872,"TIN ORE","Y","Ore containing a high proportion of tin.","P",
77,82877,"HAY","Y","Dried grass used as fodder.","P",
77,82851,"BALLAST","Y","A heavy substance, usually gravel, sand or lead, placed in the bilge of a ship or boat to provide stability.","P",
77,82905,"ZINC","Y","A hard, lustrous metallic element obtained from various ores, including sphalerite, and used in roofing, alloys and for galvanizing iron.","P",
77,82908,"FELT","Y","Fabric manufactured from fibrous materials, consolidated by heat and compression so that the fibres become matted together.","P",
77,82910,"FIRE BRICKS","Y","Bricks capable of withstanding heat without burning. Used to line fireplaces, kilns etc.","P",
77,82858,"POTASH","Y","Potassium Carbonate obtained from the ashes of burnt plant matter and used as a fertilizer.","P",
77,86172,"YARN","Y","Threads prepared for use in a manufacturing process such as spinning, weaving etc.","P",
77,88193,"KAINITE","Y","A mineral salt consisting of potassium chloride and mangensium sulphate, used as a fertilizer.","P",
77,88196,"NAILS","Y","Metal spikes used for fixing one object to another.","P",
77,82983,"BONES","Y","The hard material, consisting mainly of calcium compounds, which makes up the skeleton of vertebrates. Used for ornaments or ground for use in the manufacture of bone china.","P",
77,82994,"CULM","Y","Coal dust or slack, especially that of anthracite.","P",
77,82998,"RAILWAY TRACK","Y","Rolled iron or steel formed into rails.","P",
77,82878,"PIG IRON","Y","Blocks of cast iron as it appears when first removed from the smelting furnace.","P",
77,82886,"TORPEDOES","Y","Cylindrical, self-propelled missiles which travel underwater and explode on impact.","P",
77,82915,"IVORY","Y","A highly-prized, hard, white, fine-grained dentine constituting the main part of the teeth of walruses, hippopotami and elephants. Used in the manufacture of ornaments and piano keys.","P",
77,82917,"SOAP","Y","A cleansing agent, manufactured by reacting natural oils and fats with a strong alkali. Nowadays, formed into bars with added colouring and perfume.","P",
77,82919,"STRAW","Y","The stalks of cereals separated from the grain br threshing and used as fodder, basket manufacture, thatch etc.","P",
77,83091,"RAISINS","Y","Dried or partially dried grapes eaten as a fruit.","P",
77,83093,"SAFFRON","Y","The stigmas of the crocus, Crocus sativus, used as a flavouring and for colouring food.","P",
77,83100,"CORDAGE","Y","Thick ropes and rigging.","P",
77,83101,"CANNON BALLS","Y","Solid spherical objects, manufactured from stone or metal, fired from cannon.","P",
77,83103,"Cocoa Nuts","N",,"N",
77,83009,"ANTHRACITE","Y","Non bituminous coal","P",
77,83010,"OIL CAKE","Y","Cattle fodder or fertilizer resulting from the extracting of oil from seeds.","P",
77,83015,"CONCRETE PIPES","Y","Pipes manufactured from concrete used in the construction industry for drainage etc.","P",
77,83021,"TURPENTINE","Y","An oil obtained by the distillation of wood and used as a solvent and paint thinner and in some medical preparations.","P",
77,83197,"COCHINEAL","Y","A red dye made from the dried bodies of the insect Dactylopius coccus.","P",
77,83275,"DEALS","Y","Planks or boards manufactured from softwood timber.","P",
77,83279,"SULPHUR","Y","A non-metallic element, yellow in colour, used in a variety of processes.","P",
77,88458,"PEPPERS","Y","The fruit of certain varieties of the plant Capsicum Annum eaten as vegetables.","P",
77,88460,"LIQUORICE","Y","A preparation made from the evaporated juice of the rhizome of the plant Glycyrrhiza glabra, used medicinally and as a sweet, usually in the form of a black, chewy substance.","P",
77,88463,"FLANNEL","Y","Soft, loose-textured, woollen or man-made fabric.","P",
77,88465,"PERFUME","Y","A substance designed to emit a sweet smell.","P",
77,88466,"GLASSWARE","Y","Articles, particularly drinking vessels, manufactured from glass.","P",
77,88473,"MUSLIN","Y","Fine cotton fabric of a delicate weave.","P",
77,88474,"NANKEEN","Y","A type of cotton cloth of a pale yellow colour.","P",
77,88499,"BRISTLES","Y","Stiff hairs used in the manufacture of brushes.","P",
77,88506,"Cinders","N",,"N",
77,88548,"Chestnuts","N",,"N",
77,83086,"TIMBER","Y","Wood, cut and seasoned for use as a constructional material.","P",
77,83087,"BEAVER FURS","Y","The pelts of beavers used for the manufacture of fur coats and hats.","P",
77,83104,"PLANKS","Y","Timber sawn into long, flat, pieces used for flooring etc. in buildings.","P",
77,83110,"PROVISIONS","Y","Supplies including food, drink and equipment necessary for a journey.","P",
77,83111,"Almonds","N",,"N",
77,83115,"PRUNES","Y","Dried or partially dried plums eaten as fruit.","P",
77,83117,"STARCH","Y","An odourless, tasteless powder obtained from cereals and potatoes, used for stiffening fabric.","P",
77,83132,"STAVES","Y","Pieces of timber shaped for use in the construction of buildings, barrels etc.","P",
77,83133,"BOOKS","Y","Documents written on sheets of paper or similar, collected together and bound between protective covers.","P",
77,83135,"ANCHORS","Y","Structures, traditonally consisting of a long shank with two arms at one end and a ring to attach to cable at the other, used to hold a ship in one place by mooring it to the bottom of the sea. Usually made of stone or metal.","P",
77,83145,"MOORSTONE","Y","A form of granite found in Cornwall","P",
77,83213,"Tinned Goods","N",,"N",
77,83170,"ARSENIC","Y","A semi metal, poisonous element used in a variety of industrial processes and in some medicinal preparations.","P",
77,83180,"COPPERAS","Y","Sulphates, used in medicine and to colour inks.","P",
77,83192,"LOAM","Y","Fertile soil composed mainly of humus, sand and clay.","P",
77,83218,"COPRA","Y","Dried kernel of coconut","P",
77,83222,"DYEWOOD","Y","Wood used to produce a dye.","P",
77,83225,"CURRANTS","Y","Dried seedless grapes used in cookery.","P",
77,86257,"STONE DUST","Y","Powder made from particles of stone used in mining to make the coal dust in the air less combustible.","P",
77,86261,"BATTENS","Y","Long narrow pieces of wood used for a variety of purposes.","P",
77,86264,"BURNT ORE","Y","Ore that has been burnt.","P",
77,86276,"BARREL HEADINGS","Y","The flat end of a barrel.","P",
77,86296,"CLINKER","Y","Usually slag, a residue from burning stone, but can be used for vitrified bricks.","P",
77,88688,"Walnuts","N",,"N",
77,83548,"Pipe Staves","N","A pipe is a type of barrel, also used as a measure equivalent to two hogsheads.","N",
77,83298,"LINSEED","Y","The seed of the flax plant used to produce oil and, in LINSEED CAKE, as fodder.","P",
77,83303,"BARYTES","Y","Sulphate of Barium","P",
77,83312,"ICE","Y","Frozen water. Prior to the invention of the refrigerator, ice was used to preserve food.","P",
77,83316,"SODA ASH","Y","Commercially manufactured sodium carbonate used in glass and soap making.","P",
77,83324,"QUEBRACHO","Y","The bark and wood of trees of the genus Aspidosperma used to produce tannin.","P",
77,83325,"BOG ORE","Y","A form of limonite, found in wet ground, from which iron can be extracted.","P",
77,83333,"MATCHES","Y","Small pieces of wood, tipped with a chemical composition which ignites when rubbed against a rough or, if safety matches, prepared surface. Normally contained within a small box.","P",
77,83336,"ALUMINA","Y","Aluminium oxide.","P",
77,83395,"RAILWAY SLEEPERS","Y","Large blocks of timber used to support railway tracks.","P",
77,86342,"Ships Spars","N",,"N",
77,86350,"OLIVINE SAND","Y","Sand consisting of a mineral common in igneous rocks.","P",
77,83421,"LINSEED OIL","Y","Oil produced from the seed of the flax plant. Used in the production of paints, varnish etc.","P",
77,83430,"RAPE SEED","Y","The oil rich seed of the plant Bracchus napus.","P",
77,83431,"ASPHALT","Y","A viscous, bituminous pitch which can be used for surfacing roads.","P",
77,83449,"CHAIN","Y","A series of links joined together to form something that is flexible and strong. Usually metal, chains have a variety of uses but usually involve joining one item to another.","P",
77,86380,"GREASE","Y","Fat from an animal used to lubricate objects.","P",
77,86416,"SPARS","Y","Poles of timber, metal etc. used as masts, booms or yards on a vessel.","P",
77,86478,"PHOSPHATE ROCK","Y","Rock containing a high proportion of calcium phosphate.","P",
77,83863,"SPONGES","Y","Soft, porous objects used in bathing and for cleaning. Originally made from the dried skeletons of marine sponges but now more commonly manufactured from synthetic foam.","P",
77,83864,"BOXWOOD","Y","The hard, close-grained wood of the Box or similar trees.","P",
77,83680,"WHITING","Y","Small fish, common in European waters, caught for food.","P",
77,109073,"FLORINS","Y","Originally gold coins issued in Florence, but later used for various coins issued on the continent. In modern Britain, the two shilling piece.","P",
77,109153,"PASSENGERS","Y","People who have paid to travel on a vessel without having to work their passage.","P",
77,109194,"SEASONINGS","Y","Savoury ingredients, such as herbs, used to add flavour to food.","P",
77,109233,"CEDAR","Y","Durable wood from the cedar tree.","P",
77,109273,"TIMBER PRODUCTS","Y","Products manufactured from timber.","P",
77,109274,"Wood","N",,"N",
77,109293,"ANIMAL SKINS","Y","The hides of animals, either untreated or tanned.","P",
77,95012,"ZINC OXIDE","Y","A white powder used to colour medicines, paints etc.","P",
77,97131,"SULPHURIC ACID","Y","Corrosive, dense, oily acid, usually in aqueous solution, used in the chemical industry.","P",
77,78954,"COAL TAR","Y","Thick, black liquid distilled from bituminous coal, and containing many organic chemicals.","P",
77,78956,"COCOA","Y","Powder produced by grinding cacao beans, used as the main ingredient for the drink Cocoa.","P",
77,78958,"COCONUTS","Y","Large, brown, hard-shelled seeds of the palm tree Cocos nucifera, the flesh and liquid contained within the shell can be eaten.","P",
77,78959,"COD","Y","Large fish, native to the North Atlantic and adjacents seas which has been fished since the Middle Ages.","P",
77,78960,"COFFEE","Y","The beans, or powder resulting from grinding the beans, of shrubs of the genus Coffea. The powder is used to make the drink Coffee.","P",
77,78961,"COIN","Y","Pieces of metal money usually small in size and circular in design. Manufacture from a variety of metals including gold and silver but more recently manufactured from base metals and alloys.","P",
77,78963,"CONCRETE","Y","Building material made by combining gravel, cement, water and sand. When hard it forms a stonelike surface, used for paving and building.","P",
77,78964,"CONSTRUCTION MATERIALS","Y","Materials used for the construction of buildings, vehicles or other objects.","P",
77,78965,"CONTAINERS","Y","Receptacles, including boxes, barrels etc., designed to contain something.","P",
77,78966,"CONVICTS","Y","People who have been convicted of criminal offences. Traditionally criminals, even those convicted of petty offences, were transported from Europe to penal colonies in the Americas and Australia.","P",
77,78969,"COPPER INGOTS","Y","Solid bars made from pure Copper metal.","P",
77,78970,"COPPER ORE","Y","A mineral containing high quantities of Copper.","P",
77,78976,"COTTON GOODS","Y","Goods manufactured from processed cotton.","P",
77,78977,"COTTON SEED","Y","Seed of the cotton plant from which edible oil is extracted.","P",
77,78980,"CRUSHED STONE","Y","Stone which has been crushed for use in the construction industry.","P",
77,78981,"DAIRY PRODUCE","Y","Products, such as cheese and butter, manufactured from milk.","P",
77,78986,"DRIED FISH","Y","Fish which has been preserved by drying.","P",
77,78987,"DRIED FRUIT","Y","Fruit which has been preserved by drying.","P",
77,78988,"DYNAMITE","Y","A high explosive, manufactured by absorbing unstable nitroglycerine in a material such as kieselguhr, a soft, earthy material.","P",
